wid,ecoregion,start_year,end_year,tp_mean,tp_count,tp_tsi,eco_tp_min,eco_tp_max,chl_mean,chl_count,chl_tsc,eco_chl_min,eco_chl_max,transp_mean,transp_count,transp_tsi,eco_transp_min,eco_transp_max,overall_tsi
01-0330-00,NLF,1992,2001,,,,42,52,,,,44,53,1.68,5,52.56,38,47,52.56
01-0447-00,NLF,2000,2009,,,,42,52,,,,44,53,1.68,5,52.54,38,47,52.54
01-0104-00,NLF,2000,2009,26.1,10,51.19,42,52,7.71,9,50.64,44,53,1.98,17,50.15,38,47,50.66
01-0150-00,NLF,2000,2009,10,1,37.35,42,52,,,,44,53,,,,38,47,37.35
01-0152-00,NLF,1994,2003,72.11,3,65.84,42,52,,,,44,53,,,,38,47,65.84
01-0158-00,NLF,2000,2009,79,1,67.16,42,52,,,,44,53,,,,38,47,67.16
01-0185-00,NLF,2000,2009,30,1,53.2,42,52,,,,44,53,,,,38,47,53.2
01-0208-00,NLF,2000,2009,18,1,45.83,42,52,,,,44,53,,,,38,47,45.83
01-0101-00,NLF,1994,2003,,,,42,52,,,,44,53,2.1,1,49.31,38,47,49.31
01-0126-00,NLF,2000,2009,32,1,54.13,42,52,,,,44,53,,,,38,47,54.13
01-0024-00,NLF,2000,2009,34,2,55,42,52,12.41,1,55.31,44,53,,,,38,47,55.15
01-0031-00,NLF,2000,2009,24,1,49.98,42,52,,,,44,53,,,,38,47,49.98
01-0032-00,NLF,2000,2009,14,1,42.21,42,52,,,,44,53,,,,38,47,42.21
01-0059-00,NLF,2000,2009,9,1,35.83,42,52,6.2,1,48.5,44,53,2,1,50.01,38,47,44.78
01-0015-00,NLF,2000,2009,20,1,47.35,42,52,,,,44,53,,,,38,47,47.35
01-0019-00,NLF,2000,2009,60,1,63.19,42,52,,,,44,53,,,,38,47,63.19
03-0163-00,NLF,2000,2009,31,1,53.67,42,52,,,,44,53,3.8,1,40.76,38,47,47.22
02-0090-00,NCHF,2000,2009,,,,49,61,,,,46,61,1.68,17,52.52,43,54,52.52
02-0097-00,NCHF,1994,2003,49,12,60.27,49,61,16.71,12,58.22,46,61,0.65,12,66.28,43,54,61.59
02-0070-00,NCHF,2000,2009,,,,49,61,,,,46,61,1.91,19,50.69,43,54,50.69
02-0015-00,NCHF,2000,2009,57.24,29,62.51,49,61,21.44,27,60.67,46,61,0.62,16,66.84,43,54,63.34
02-0019-00,NCHF,2000,2009,350.5,20,88.64,49,61,24.92,18,62.14,46,61,0.43,3,72.05,43,54,74.28
02-0106-00,NCHF,2000,2009,,,,49,61,,,,46,61,2.55,18,46.51,43,54,46.51
02-0110-00,NCHF,2000,2009,32.25,4,54.24,49,61,,,,46,61,0.76,4,63.95,43,54,59.1
03-0134-00,NLF,2000,2009,20.67,3,47.82,42,52,,,,44,53,5.16,7,36.36,38,47,42.09
04-0022-00,NLF,1994,2003,26,5,51.13,42,52,,,,44,53,,,,38,47,51.13
04-0058-00,NLF,1994,2003,,,,42,52,,,,44,53,,,,38,47,0
04-0062-00,NLF,1994,2003,,,,42,52,,,,44,53,,,,38,47,0
03-0387-00,NCHF,1992,2001,26.87,85,51.61,49,61,9.06,17,52.22,46,61,2.98,316,44.27,43,54,49.37
04-0130-00,NLF,1996,2005,,,,42,52,,,,44,53,2.85,139,44.91,38,47,44.91
06-0265-00,NGP,2000,2009,2133.33,1,114.69,73,77,,,,66,71,,,,63,73,114.69
07-0090-00,WCBP,2000,2009,364.67,3,89.21,64,76,58.17,3,70.46,64,74,1.39,19,55.22,60,70,71.63
07-0101-00,WCBP,2000,2009,59.67,3,63.11,64,76,11.96,3,54.94,64,74,1.35,3,55.68,60,70,57.91
04-0269-00,NLF,2000,2009,20.84,25,47.94,42,52,3.45,11,42.76,44,53,4.2,25,39.32,38,47,43.34
04-0270-00,NLF,2000,2009,15.93,15,44.07,42,52,3.63,8,43.23,44,53,3.42,23,42.28,38,47,43.19
04-0271-00,NLF,2000,2009,14.43,21,42.64,42,52,2.55,17,39.79,44,53,4.57,26,38.09,38,47,40.17
04-0277-00,NLF,2000,2009,17.62,26,45.52,42,52,3.2,15,42.01,44,53,4.02,25,39.96,38,47,42.5
04-0284-00,NLF,2000,2009,20.88,16,47.97,42,52,3.07,15,41.59,44,53,4.91,24,37.06,38,47,42.21
04-0181-00,NLF,2000,2009,19.24,21,46.79,42,52,4.15,17,44.55,44,53,3.01,26,44.13,38,47,45.16
04-0312-00,NLF,2000,2009,19.14,22,46.71,42,52,2.66,16,40.19,44,53,5.46,27,35.53,38,47,40.81
04-0315-00,NLF,2000,2009,,,,42,52,,,,44,53,3,6,44.18,38,47,44.18
04-0318-00,NLF,2000,2009,16.55,22,44.61,42,52,2.68,16,40.26,44,53,4.75,28,37.54,38,47,40.8
04-0200-00,NLF,2000,2009,14.36,25,42.57,42,52,1.82,11,36.46,44,53,6.71,25,32.56,38,47,37.2
04-0319-00,NLF,2000,2009,13.06,16,41.21,42,52,2.67,12,40.22,44,53,3.87,16,40.49,38,47,40.64
04-0320-00,NLF,2000,2009,31,1,53.67,42,52,2,1,37.4,44,53,4.95,9,36.94,38,47,42.67
04-0336-00,NLF,2000,2009,25.13,15,50.64,42,52,4.47,15,45.28,44,53,3.28,15,42.87,38,47,46.26
05-0009-00,NCHF,2000,2009,136,1,74.99,49,61,,,,46,61,,,,43,54,74.99
08-0129-00,WCBP,2000,2009,56.83,9,62.41,64,76,25.87,9,62.51,64,74,1.09,9,58.81,60,70,61.24
09-0002-00,NLF,1994,2003,42,10,58.05,42,52,,,,44,53,,,,38,47,58.05
09-0003-00,NLF,2000,2009,16,2,44.13,42,52,5.09,1,46.56,44,53,2.6,1,46.23,38,47,45.64
09-0006-00,NLF,2000,2009,34,2,55,42,52,,,,44,53,3,1,44.17,38,47,49.58
09-0018-00,NLF,2000,2009,49,1,60.27,42,52,,,,44,53,,,,38,47,60.27
09-0019-00,NLF,2000,2009,32,1,54.13,42,52,,,,44,53,,,,38,47,54.13
09-0020-00,NLF,2000,2009,23,1,49.36,42,52,9.29,1,52.47,44,53,1.7,1,52.35,38,47,51.39
09-0026-00,NLF,2000,2009,10,1,37.35,42,52,2.67,1,40.23,44,53,3.1,1,43.7,38,47,40.43
04-0252-00,NLF,2000,2009,18.88,16,46.51,42,52,4.13,16,44.5,44,53,4.82,23,37.34,38,47,42.79
04-0256-00,NLF,2000,2009,,,,42,52,,,,44,53,4.09,8,39.69,38,47,39.69
04-0193-00,NLF,2000,2009,11.14,22,38.91,42,52,1.52,10,34.69,44,53,6.35,27,33.37,38,47,35.66
04-0194-00,NLF,2000,2009,19.77,22,47.18,42,52,1.77,15,36.18,44,53,5.97,28,34.26,38,47,39.21
04-0132-00,NLF,1992,2001,18.33,4,46.09,42,52,3.14,4,41.82,44,53,3.74,22,40.97,38,47,42.96
10-0104-00,NCHF,2000,2009,240,1,83.18,49,61,200,1,82.58,46,61,0.3,1,77.35,43,54,81.04
10-0105-00,NCHF,2000,2009,80,1,67.34,49,61,31,1,64.29,46,61,0.9,1,61.52,43,54,64.38
10-0063-00,NCHF,2000,2009,280,1,85.4,49,61,120,1,77.57,46,61,0.5,1,69.99,43,54,77.65
10-0068-00,NCHF,2000,2009,60,1,63.19,49,61,20,1,59.99,46,61,1.1,1,58.63,43,54,60.6
10-0078-00,NCHF,2000,2009,170,1,78.21,49,61,21,1,60.47,46,61,0.63,3,66.58,43,54,68.42
10-0028-00,NCHF,2000,2009,90,1,69.04,49,61,140,1,79.08,46,61,0.4,1,73.2,43,54,73.77
10-0082-00,NCHF,2000,2009,150,1,76.4,49,61,52,1,69.36,46,61,0.8,1,63.22,43,54,69.66
10-0085-00,NCHF,2000,2009,180,1,79.03,49,61,150,1,79.75,46,61,0.4,1,73.2,43,54,77.33
10-0103-00,NCHF,2000,2009,40,1,57.34,49,61,4.7,1,45.78,46,61,0.9,1,61.52,43,54,54.88
09-0167-00,NLF,1994,2003,45,10,59.04,42,52,,,,44,53,,,,38,47,59.04
11-0142-03,NLF,2000,2009,,,,42,52,,,,44,53,4.65,60,37.84,38,47,37.84
11-0156-00,NLF,2000,2009,44,1,58.72,42,52,,,,44,53,,,,38,47,58.72
11-0183-00,NLF,1994,2003,,,,42,52,,,,44,53,,,,38,47,0
11-0188-00,NLF,1994,2003,,,,42,52,,,,44,53,,,,38,47,0
11-0192-00,NLF,1994,2003,,,,42,52,,,,44,53,,,,38,47,0
11-0201-00,NLF,1994,2003,59.22,3,63,42,52,6.93,3,49.59,44,53,3.5,47,41.94,38,47,51.51
11-0054-00,NLF,2000,2009,12,2,39.98,42,52,,,,44,53,4.5,1,38.33,38,47,39.15
11-0055-00,NLF,2000,2009,41.21,19,57.77,42,52,10.35,6,53.52,44,53,1.88,9,50.92,38,47,54.07
11-0030-00,NLF,1994,2003,,,,42,52,,,,44,53,,,,38,47,0
11-0036-00,NLF,1994,2003,,,,42,52,,,,44,53,0.95,1,60.74,38,47,60.74
10-2001-00,NCHF,1994,2003,315,2,87.1,49,61,7.5,2,50.37,46,61,0.2,2,83.19,43,54,73.55
11-0067-00,NLF,2000,2009,,,,42,52,,,,44,53,4.94,5,36.99,38,47,36.99
11-0091-00,NLF,1994,2003,,,,42,52,,,,44,53,,,,38,47,0
11-0094-00,NLF,1994,2003,,,,42,52,,,,44,53,,,,38,47,0
11-0106-00,NLF,1994,2003,,,,42,52,,,,44,53,,,,38,47,0
11-0120-00,NLF,1994,2003,,,,42,52,,,,44,53,,,,38,47,0
11-0123-00,NLF,1994,2003,,,,42,52,,,,44,53,,,,38,47,0
11-0124-00,NLF,1994,2003,,,,42,52,,,,44,53,,,,38,47,0
11-0134-00,NLF,1994,2003,,,,42,52,,,,44,53,,,,38,47,0
11-0136-00,NLF,1994,2003,,,,42,52,,,,44,53,,,,38,47,0
11-0142-00,NLF,1994,2003,,,,42,52,,,,44,53,,,,38,47,0
11-0203-00,NLF,1994,2003,18.79,3,46.45,42,52,,,,44,53,,,,38,47,46.45
10-0109-00,NCHF,2000,2009,100,1,70.56,49,61,19,1,59.48,46,61,0.3,1,77.35,43,54,69.13
10-0110-00,NCHF,2000,2009,,,,49,61,18,2,58.95,46,61,,,,43,54,58.95
10-0200-01,NCHF,2000,2009,,,,49,61,,,,46,61,1.35,19,55.71,43,54,55.71
11-0043-00,NLF,1996,2005,15.82,14,43.97,42,52,6.07,14,48.29,44,53,3.41,242,42.32,38,47,44.86
11-0045-00,NLF,2000,2009,27.3,10,51.84,42,52,6.28,4,48.62,44,53,2.9,1,44.66,38,47,48.37
11-0046-00,NLF,2000,2009,29.91,11,53.15,42,52,7.48,4,50.34,44,53,4,1,40.02,38,47,47.84
11-0010-00,NLF,2000,2009,,,,42,52,,,,44,53,2.62,5,46.12,38,47,46.12
11-0017-00,NLF,1994,2003,,,,42,52,,,,44,53,,,,38,47,0
10-0107-00,NCHF,2000,2009,130,1,74.34,49,61,43,1,67.5,46,61,0.6,1,67.36,43,54,69.73
11-0416-00,NLF,1994,2003,,,,42,52,,,,44,53,,,,38,47,0
11-0450-00,NLF,2000,2009,21,1,48.05,42,52,,,,44,53,,,,38,47,48.05
11-0468-00,NLF,1994,2003,,,,42,52,,,,44,53,,,,38,47,0
11-0469-00,NLF,1994,2003,,,,42,52,,,,44,53,,,,38,47,0
11-0471-00,NLF,1994,2003,,,,42,52,,,,44,53,,,,38,47,0
11-0475-00,NLF,1994,2003,,,,42,52,,,,44,53,,,,38,47,0
11-0481-00,NLF,1994,2003,,,,42,52,,,,44,53,,,,38,47,0
11-0487-00,NLF,1994,2003,,,,42,52,,,,44,53,,,,38,47,0
11-0391-00,NLF,1994,2003,,,,42,52,,,,44,53,,,,38,47,0
11-0394-00,NLF,1994,2003,,,,42,52,,,,44,53,,,,38,47,0
11-0395-00,NLF,2000,2009,18,1,45.83,42,52,,,,44,53,,,,38,47,45.83
11-0285-00,NLF,1994,2003,,,,42,52,,,,44,53,,,,38,47,0
11-0290-00,NLF,1994,2003,,,,42,52,,,,44,53,,,,38,47,0
11-0297-00,NLF,2000,2009,27,1,51.68,42,52,,,,44,53,,,,38,47,51.68
11-0302-00,NLF,2000,2009,22,1,48.72,42,52,,,,44,53,,,,38,47,48.72
11-0496-00,NLF,1994,2003,30,1,53.2,42,52,,,,44,53,,,,38,47,53.2
11-0396-00,NLF,1994,2003,,,,42,52,,,,44,53,,,,38,47,0
11-0397-00,NLF,1994,2003,,,,42,52,,,,44,53,,,,38,47,0
11-0401-00,NLF,2000,2009,,,,42,52,,,,44,53,3.51,2,41.93,38,47,41.93
11-0402-00,NLF,1994,2003,,,,42,52,,,,44,53,,,,38,47,0
11-0414-00,NLF,1994,2003,,,,42,52,,,,44,53,,,,38,47,0
11-0253-00,NLF,2000,2009,44,1,58.72,42,52,,,,44,53,,,,38,47,58.72
11-0314-00,NLF,2000,2009,30,6,53.2,42,52,,,,44,53,4.49,29,38.37,38,47,45.78
11-0316-00,NLF,1994,2003,,,,42,52,,,,44,53,,,,38,47,0
11-0317-00,NLF,1994,2003,,,,42,52,,,,44,53,,,,38,47,0
11-0265-00,NLF,2000,2009,19,1,46.61,42,52,,,,44,53,,,,38,47,46.61
13-0032-00,NCHF,1992,2001,,,,49,61,,,,46,61,0.81,33,62.97,43,54,62.97
16-0095-00,NLF,2000,2009,,0,,42,52,,,,44,53,,,,38,47,0
16-0097-00,NLF,2000,2009,8,1,34.14,42,52,,,,44,53,,,,38,47,34.14
16-0103-00,NLF,2000,2009,7,1,32.21,42,52,,,,44,53,,,,38,47,32.21
16-0001-N017,NLF,1994,2003,24.67,3,50.37,42,52,0.75,3,27.78,44,53,4.3,2,38.98,38,47,39.04
16-0001-N018,NLF,1994,2003,15,3,43.2,42,52,0.84,3,28.84,44,53,6.5,3,33.03,38,47,35.02
16-0001-N019,NLF,1994,2003,19.33,3,46.86,42,52,0.76,3,27.95,44,53,4,1,40.02,38,47,38.28
16-0001-N020,NLF,1994,2003,19.67,3,47.11,42,52,0.82,3,28.65,44,53,5.5,1,35.43,38,47,37.06
16-0001-N021,NLF,1994,2003,7.5,2,33.2,42,52,0.88,3,29.38,44,53,7.3,1,31.35,38,47,31.31
16-0001-N022,NLF,1994,2003,30.33,3,53.35,42,52,0.66,2,26.45,44,53,,,,38,47,39.9
16-0001-N023,NLF,1994,2003,15.67,3,43.83,42,52,0.93,3,29.89,44,53,,,,38,47,36.86
16-0001-N024,NLF,1994,2003,19,3,46.61,42,52,0.82,3,28.66,44,53,9.03,3,28.28,38,47,34.52
16-0001-N025,NLF,1994,2003,20.33,3,47.59,42,52,0.71,3,27.24,44,53,,,,38,47,37.41
16-0152-00,NLF,2000,2009,17,1,45,42,52,,,,44,53,,,,38,47,45
16-0153-00,NLF,2000,2009,11,1,38.73,42,52,,,,44,53,,,,38,47,38.73
16-0154-00,NLF,2000,2009,10,1,37.35,42,52,,,,44,53,,,,38,47,37.35
15-0045-00,NLF,2000,2009,18.25,16,46.03,42,52,3.44,16,42.71,44,53,4.38,23,38.73,38,47,42.49
16-0158-00,NLF,2000,2009,19,1,46.61,42,52,,,,44,53,,,,38,47,46.61
16-0160-00,NLF,2000,2009,17,2,45,42,52,,,,44,53,,,,38,47,45
16-0162-00,NLF,2000,2009,20,1,47.35,42,52,,,,44,53,,,,38,47,47.35
16-0163-00,NLF,2000,2009,35,1,55.42,42,52,,,,44,53,,,,38,47,55.42
16-0164-00,NLF,2000,2009,21,1,48.05,42,52,,,,44,53,,,,38,47,48.05
16-0001-N026,NLF,1994,2003,15.67,3,43.83,42,52,0.55,3,24.79,44,53,,,,38,47,34.31
16-0001-N027,NLF,1994,2003,,,,42,52,0.83,3,28.77,44,53,8.2,2,29.68,38,47,29.23
16-0001-N040,NLF,1994,2003,,,,42,52,,,,44,53,11.24,9,25.13,38,47,25.13
16-0114-00,NLF,2000,2009,10,1,37.35,42,52,,,,44,53,2.1,1,49.31,38,47,43.33
16-0115-00,NLF,2000,2009,17,1,45,42,52,,,,44,53,2.1,1,49.31,38,47,47.16
16-0127-00,NLF,1994,2003,,,,42,52,,,,44,53,0.9,1,61.52,38,47,61.52
16-0002-00,NLF,2000,2009,18,1,45.83,42,52,,,,44,53,,,,38,47,45.83
16-0004-00,NLF,2000,2009,9,1,35.83,42,52,,,,44,53,,,,38,47,35.83
16-0005-00,NLF,2000,2009,7,1,32.21,42,52,,,,44,53,,,,38,47,32.21
16-0013-00,NLF,2000,2009,21,1,48.05,42,52,,,,44,53,,,,38,47,48.05
16-0016-00,NLF,2000,2009,19,1,46.61,42,52,,,,44,53,,,,38,47,46.61
16-0175-00,NLF,1994,2003,,,,42,52,,,,44,53,1.35,1,55.68,38,47,55.68
16-0030-00,NLF,2000,2009,14,1,42.21,42,52,,,,44,53,,,,38,47,42.21
16-0031-00,NLF,2000,2009,14,1,42.21,42,52,,,,44,53,,,,38,47,42.21
16-0040-00,NLF,1994,2003,,,,42,52,,,,44,53,0.55,1,68.61,38,47,68.61
16-0191-00,NLF,2000,2009,7.47,19,33.15,42,52,1.68,20,35.71,44,53,5.97,15,34.24,38,47,34.37
16-0192-00,NLF,2000,2009,24,1,49.98,42,52,,,,44,53,,,,38,47,49.98
16-0193-00,NLF,2000,2009,9,1,35.83,42,52,0.52,1,24.18,44,53,3,1,44.17,38,47,34.73
16-0194-00,NLF,1994,2003,,,,42,52,4.66,2,45.7,44,53,,,,38,47,45.7
16-0044-00,NLF,1994,2003,,,,42,52,,,,44,53,2.4,1,47.38,38,47,47.38
16-0045-00,NLF,1994,2003,,,,42,52,2.68,6,40.28,44,53,,,,38,47,40.28
16-0048-00,NLF,2000,2009,25,1,50.57,42,52,,,,44,53,,,,38,47,50.57
16-0063-00,NLF,1994,2003,,,,42,52,,,,44,53,2.05,1,49.66,38,47,49.66
16-0071-00,NLF,2000,2009,13,1,41.14,42,52,,,,44,53,,,,38,47,41.14
16-0001-N009,NLF,1994,2003,7.5,2,33.2,42,52,0.73,3,27.47,44,53,2.6,2,46.23,38,47,35.63
16-0001-N012,NLF,1994,2003,10,3,37.35,42,52,0.95,3,30.13,44,53,4.13,3,39.55,38,47,35.68
16-0079-00,NLF,1994,2003,,,,42,52,,,,44,53,3.1,1,43.7,38,47,43.7
16-0082-00,NLF,2000,2009,7,1,32.21,42,52,,,,44,53,,,,38,47,32.21
16-0215-00,NLF,2000,2009,,,,42,52,,,,44,53,1.52,1,53.97,38,47,53.97
16-0001-N013,NLF,1994,2003,9.5,2,36.61,42,52,0.94,3,29.99,44,53,3.05,2,43.93,38,47,36.85
16-0001-N015,NLF,1994,2003,13.33,3,41.5,42,52,0.77,3,28.04,44,53,2.8,2,45.16,38,47,38.23
16-0001-N016,NLF,1994,2003,44,3,58.72,42,52,0.78,3,28.12,44,53,3.4,1,42.37,38,47,43.07
16-0090-00,NLF,2000,2009,,0,,42,52,,,,44,53,5.1,1,36.52,38,47,36.52
16-0535-00,NLF,2000,2009,,,,42,52,,,,44,53,2.13,1,49.1,38,47,49.1
16-0537-00,NLF,2000,2009,,,,42,52,,,,44,53,1.83,1,51.29,38,47,51.29
16-0538-00,NLF,2000,2009,,,,42,52,,,,44,53,3.81,2,40.72,38,47,40.72
16-0257-00,NLF,2000,2009,18.9,3,46.53,42,52,7.08,1,49.8,44,53,,,,38,47,48.17
16-0388-00,NLF,2000,2009,24,1,49.98,42,52,2.16,1,38.15,44,53,1.7,1,52.35,38,47,46.83
16-0395-00,NLF,1994,2003,,,,42,52,,,,44,53,1.35,1,55.68,38,47,55.68
16-0618-00,NLF,1994,2003,,,,42,52,,,,44,53,1.4,1,55.15,38,47,55.15
16-0342-00,NLF,2000,2009,26,1,51.13,42,52,,,,44,53,,,,38,47,51.13
16-0625-00,NLF,2000,2009,,,,42,52,,,,44,53,2.13,1,49.1,38,47,49.1
16-0403-00,NLF,1994,2003,,,,42,52,,,,44,53,0.9,1,61.52,38,47,61.52
16-0343-00,NLF,2000,2009,22,2,48.72,42,52,,,,44,53,,,,38,47,48.72
16-0545-00,NLF,1994,2003,,,,42,52,,,,44,53,1.5,1,54.16,38,47,54.16
16-0546-00,NLF,2000,2009,,,,42,52,,,,44,53,2.13,1,49.1,38,47,49.1
16-0559-00,NLF,1994,2003,,,,42,52,,,,44,53,2.25,1,48.31,38,47,48.31
16-0565-00,NLF,1994,2003,,,,42,52,,,,44,53,2.4,1,47.38,38,47,47.38
16-0412-00,NLF,2000,2009,14.7,10,42.91,42,52,1.28,1,33.02,44,53,2.83,9,44.99,38,47,40.31
16-0421-00,NLF,1994,2003,,,,42,52,,,,44,53,1.6,1,53.23,38,47,53.23
16-0571-00,NLF,2000,2009,27,1,51.68,42,52,,,,44,53,5.62,2,35.14,38,47,43.41
16-0633-05,NLF,1994,2003,,,,42,52,,,,44,53,,,,38,47,0
16-0435-00,NLF,2000,2009,21,2,48.05,42,52,1.07,1,31.26,44,53,2.9,1,44.66,38,47,41.32
16-0437-00,NLF,1994,2003,,,,42,52,,,,44,53,1.35,1,55.68,38,47,55.68
16-0603-00,NLF,2000,2009,,,,42,52,,,,44,53,2.59,2,46.29,38,47,46.29
16-0604-00,NLF,2000,2009,,,,42,52,,,,44,53,3.66,1,41.3,38,47,41.3
16-0446-00,NLF,2000,2009,,,,42,52,,,,44,53,2.74,1,45.48,38,47,45.48
16-0453-00,NLF,2000,2009,14,1,42.21,42,52,,,,44,53,,,,38,47,42.21
16-0607-00,NLF,2000,2009,25,1,50.57,42,52,,,,44,53,,,,38,47,50.57
16-0616-00,NLF,2000,2009,,,,42,52,,,,44,53,3.87,3,40.51,38,47,40.51
16-0233-00,NLF,2000,2009,35,1,55.42,42,52,,,,44,53,3.5,1,41.95,38,47,48.68
16-0361-00,NLF,2000,2009,11,1,38.73,42,52,,,,44,53,,,,38,47,38.73
16-0364-00,NLF,1994,2003,,,,42,52,,,,44,53,1.5,1,54.16,38,47,54.16
16-0641-00,NLF,2000,2009,58,1,62.7,42,52,,,,44,53,,,,38,47,62.7
16-0642-00,NLF,2000,2009,15,1,43.2,42,52,,,,44,53,,,,38,47,43.2
16-0465-00,NLF,2000,2009,14,1,42.21,42,52,,,,44,53,,,,38,47,42.21
16-0466-00,NLF,2000,2009,11,1,38.73,42,52,,,,44,53,,,,38,47,38.73
16-0475-00,NLF,2000,2009,6.89,9,31.98,42,52,4.15,9,44.57,44,53,,,,38,47,38.28
16-0234-00,NLF,1994,2003,,,,42,52,,,,44,53,3.8,1,40.76,38,47,40.76
16-0646-00,NLF,1994,2003,,,,42,52,6.94,6,49.6,44,53,,,,38,47,49.6
16-0375-00,NLF,2000,2009,20.67,3,47.82,42,52,1.96,1,37.2,44,53,,,,38,47,42.51
16-0381-00,NLF,2000,2009,14,1,42.21,42,52,,,,44,53,3.8,1,40.76,38,47,41.48
16-0669-00,NLF,1994,2003,,,,42,52,,,,44,53,0.9,1,61.52,38,47,61.52
16-0485-00,NLF,1994,2003,,,,42,52,,,,44,53,0.9,1,61.52,38,47,61.52
16-0514-00,NLF,1994,2003,,,,42,52,,,,44,53,,,,38,47,0
16-0516-00,NLF,1994,2003,,,,42,52,,,,44,53,1.65,1,52.78,38,47,52.78
16-0677-00,NLF,2000,2009,17,1,45,42,52,,,,44,53,3.4,1,42.37,38,47,43.69
16-0683-00,NLF,1994,2003,,,,42,52,,,,44,53,2.15,1,48.97,38,47,48.97
16-0686-00,NLF,2000,2009,18,1,45.83,42,52,,,,44,53,3,1,44.17,38,47,45
16-0701-00,NLF,2000,2009,24,1,49.98,42,52,,,,44,53,,,,38,47,49.98
16-0703-00,NLF,1994,2003,,,,42,52,,,,44,53,0.4,1,73.2,38,47,73.2
16-0707-00,NLF,1994,2003,,,,42,52,,,,44,53,1.2,1,57.37,38,47,57.37
16-0251-00,NLF,2000,2009,25,1,50.57,42,52,,,,44,53,,,,38,47,50.57
16-2001-N001,NLF,1994,2003,60,2,63.19,42,52,3.13,2,41.79,44,53,1.05,2,59.3,38,47,54.76
18-0093-00,NLF,1994,2003,,,,42,52,,,,44,53,3.56,47,41.71,38,47,41.71
16-0264-00,NLF,1994,2003,,,,42,52,,,,44,53,2.6,1,46.23,38,47,46.23
16-0267-00,NLF,2000,2009,21,1,48.05,42,52,,,,44,53,3,1,44.17,38,47,46.11
16-0299-00,NLF,2000,2009,16,1,44.13,42,52,,,,44,53,,,,38,47,44.13
16-0316-00,NLF,1994,2003,,,,42,52,,,,44,53,1.35,1,55.68,38,47,55.68
18-0049-00,NLF,2000,2009,49,1,60.27,42,52,,,,44,53,,,,38,47,60.27
18-0059-00,NLF,2000,2009,18,1,45.83,42,52,5.21,1,46.79,44,53,2.7,1,45.69,38,47,46.1
18-0102-00,NLF,1994,2003,,,,42,52,,,,44,53,0.95,1,60.74,38,47,60.74
18-0117-00,NLF,2000,2009,36.89,9,56.18,42,52,18.81,9,59.38,44,53,1.72,6,52.21,38,47,55.92
16-0733-00,NLF,1994,2003,,,,42,52,,,,44,53,0.95,1,60.74,38,47,60.74
16-0735-00,NLF,1994,2003,,,,42,52,,,,44,53,1.4,1,55.15,38,47,55.15
18-0009-00,NLF,2000,2009,28.5,2,52.46,42,52,16.85,2,58.31,44,53,1.4,2,55.15,38,47,55.3
18-0127-00,NLF,2000,2009,49,1,60.27,42,52,,,,44,53,,,,38,47,60.27
18-0140-00,NLF,2000,2009,21,1,48.05,42,52,5.7,1,47.67,44,53,3.1,1,43.7,38,47,46.47
16-0772-00,NLF,1994,2003,,,,42,52,,,,44,53,2.05,1,49.66,38,47,49.66
16-0780-00,NLF,1994,2003,,,,42,52,,,,44,53,3.8,1,40.76,38,47,40.76
18-0206-00,NLF,2000,2009,30.18,11,53.28,42,52,4.49,1,45.33,44,53,3.13,12,43.54,38,47,47.39
16-0792-00,NLF,1994,2003,,,,42,52,,,,44,53,1.15,1,57.99,38,47,57.99
18-0148-00,NLF,1994,2003,,,,42,52,,,,44,53,4.16,19,39.46,38,47,39.46
16-0797-00,NLF,1994,2003,,,,42,52,,,,44,53,,,,38,47,0
16-0798-00,NLF,1994,2003,,,,42,52,,,,44,53,,,,38,47,0
16-0799-00,NLF,1994,2003,,,,42,52,,,,44,53,,,,38,47,0
16-0803-00,NLF,1994,2003,,,,42,52,,,,44,53,,,,38,47,0
16-0805-00,NLF,1994,2003,,,,42,52,8.25,6,51.3,44,53,,,,38,47,51.3
16-0806-00,NLF,1994,2003,,,,42,52,,,,44,53,,,,38,47,0
16-0807-00,NLF,1994,2003,,,,42,52,,,,44,53,1.1,1,58.63,38,47,58.63
18-0207-00,NLF,2000,2009,37.71,21,56.5,42,52,15.87,6,57.72,44,53,2.76,12,45.38,38,47,53.2
18-0216-00,NLF,2000,2009,,,,42,52,0.01,24,-20.29,44,53,2.58,24,46.37,38,47,0
18-0309-00,NLF,2000,2009,,,,42,52,,,,44,53,3.03,10,44.01,38,47,44.01
18-0191-00,NLF,2000,2009,59,1,62.95,42,52,,,,44,53,,,,38,47,62.95
18-0362-00,NLF,2000,2009,,,,42,52,5.72,1,47.71,44,53,4,1,40.02,38,47,43.87
18-0296-00,NLF,1994,2003,,,,42,52,,,,44,53,4.17,12,39.43,38,47,39.43
18-0331-00,NLF,2000,2009,29,3,52.71,42,52,,,,44,53,1.02,3,59.76,38,47,56.23
18-0334-00,NLF,2000,2009,35.67,3,55.69,42,52,,,,44,53,0.86,3,62.12,38,47,58.9
18-0227-01,NLF,2000,2009,,,,42,52,,,,44,53,4.07,3,39.79,38,47,39.79
18-0230-00,NLF,2000,2009,,,,42,52,,,,44,53,1.07,1,59.03,38,47,59.03
18-0301-00,NLF,2000,2009,20,1,47.35,42,52,,,,44,53,,,,38,47,47.35
18-0302-00,NLF,2000,2009,,,,42,52,,,,44,53,7,6,31.96,38,47,31.96
