wid,ecoregion,start_year,end_year,tp_mean,tp_count,tp_tsi,eco_tp_min,eco_tp_max,chl_mean,chl_count,chl_tsc,eco_chl_min,eco_chl_max,transp_mean,transp_count,transp_tsi,eco_transp_min,eco_transp_max,overall_tsi
82-0044-00,NCHF,2004,2013,19.92,25,47.29,49,61,2.19,26,38.29,46,61,4.24,39,39.19,43,54,41.59
82-0045-00,NCHF,2004,2013,17.87,23,45.72,49,61,2.43,23,39.29,46,61,5.85,27,34.55,43,54,39.85
82-0046-00,NCHF,2004,2013,13.96,55,42.17,49,61,2.85,55,40.86,46,61,5.32,188,35.93,43,54,39.65
82-0048-00,NCHF,2004,2013,17.15,13,45.13,49,61,4.02,13,44.26,46,61,4.52,21,38.25,43,54,42.55
82-0049-00,NCHF,2004,2013,20.41,34,47.64,49,61,5.14,34,46.65,46,61,4.32,179,38.91,43,54,44.4
82-0052-02,NCHF,2004,2013,95.3,38,69.86,49,61,39.1,38,66.57,46,61,1.24,38,56.94,43,54,64.46
82-0052-04,NCHF,2004,2013,24.13,42,50.06,49,61,6.51,42,48.98,46,61,3.19,76,43.28,43,54,47.44
82-0052-05,NCHF,2004,2013,,,,49,61,5.34,1,47.03,46,61,1,1,60,43,54,53.52
82-0053-00,NCHF,2004,2013,80.06,16,67.35,49,61,20.86,16,60.4,46,61,0.96,16,60.64,43,54,62.8
82-0054-00,NCHF,2004,2013,44.81,70,58.98,49,61,18.04,69,58.98,46,61,1.46,106,54.5,43,54,57.49
82-0056-00,NCHF,2004,2013,25.63,16,50.92,49,61,4.23,16,44.75,46,61,2.01,25,49.92,43,54,48.53
82-0059-00,NCHF,2004,2013,56.97,39,62.44,49,61,38.35,39,66.38,46,61,1.55,39,53.68,43,54,60.83
82-0062-00,NCHF,2004,2013,26.46,26,51.39,49,61,4.18,26,44.62,46,61,2.82,31,45.07,43,54,47.03
82-0064-00,NCHF,2004,2013,102.7,33,70.94,49,61,49.55,33,68.89,46,61,1.11,33,58.53,43,54,66.12
18-0099-00,NLF,2004,2013,15,9,43.2,42,52,8.33,9,51.4,44,53,2.7,10,45.7,38,47,46.77
18-0104-00,NLF,2004,2013,23.08,12,49.42,42,52,13.08,12,55.82,44,53,2.91,56,44.6,38,47,49.95
18-0107-00,NLF,2004,2013,17,1,45,42,52,,,,44,53,,,,38,47,45
18-0145-00,NLF,2004,2013,36.22,9,55.91,42,52,7.78,9,50.72,44,53,2.31,28,47.94,38,47,51.52
18-0110-00,NLF,2004,2013,48.69,16,60.18,42,52,37.44,16,66.14,44,53,0.83,16,62.62,38,47,62.98
18-0147-00,NLF,2004,2013,52.33,6,61.22,42,52,31.67,6,64.5,44,53,1.33,6,55.87,38,47,60.53
18-0112-00,NLF,2004,2013,16.88,8,44.9,42,52,2.88,8,40.96,44,53,1.03,8,59.56,38,47,48.47
18-0118-00,NLF,2004,2013,,,,42,52,,,,44,53,2.66,6,45.91,38,47,45.91
18-0121-00,NLF,2004,2013,23,1,49.36,42,52,,,,44,53,0.91,1,61.36,38,47,55.36
18-0123-00,NLF,2004,2013,,,,42,52,,,,44,53,2.05,2,49.66,38,47,49.66
18-0148-01,NLF,2004,2013,15.3,10,43.49,42,52,4,11,44.2,44,53,4.45,92,38.5,38,47,42.06
18-0148-02,NLF,2004,2013,19.64,11,47.08,42,52,9.45,11,52.64,44,53,3.21,92,43.18,38,47,47.63
18-0154-00,NLF,2004,2013,32,1,54.13,42,52,,,,44,53,0.3,1,77.35,38,47,65.74
18-0155-00,NLF,2004,2013,40.93,14,57.67,42,52,23.86,14,61.72,44,53,1.65,46,52.75,38,47,57.38
18-0161-00,NLF,2004,2013,38,19,56.6,42,52,18.05,19,58.98,44,53,1.54,31,53.74,38,47,56.44
18-0126-01,NLF,2004,2013,45.7,10,59.26,42,52,27.5,10,63.11,44,53,2.07,10,49.52,38,47,57.3
18-0131-00,NLF,2004,2013,,,,42,52,,,,44,53,4.15,14,39.5,38,47,39.5
18-0135-00,NLF,2004,2013,15,7,43.2,42,52,4.57,7,45.51,44,53,5.24,7,36.12,38,47,41.61
18-0136-00,NLF,2004,2013,34.95,19,55.4,42,52,12.5,18,55.38,44,53,2.42,135,47.24,38,47,52.67
18-0142-00,NLF,2004,2013,27,1,51.68,42,52,,,,44,53,0.91,1,61.36,38,47,56.52
29-0089-00,NLF,2004,2013,13,12,41.14,42,52,2.82,11,40.76,44,53,2.45,55,47.1,38,47,43
29-0090-00,NLF,2004,2013,13.1,10,41.25,42,52,4.3,10,44.91,44,53,4.23,31,39.21,38,47,41.79
29-0091-00,NLF,2004,2013,26.93,43,51.64,42,52,13.19,43,55.9,44,53,2.37,77,47.54,38,47,51.69
29-0092-00,NLF,2004,2013,22.8,40,49.24,42,52,10.53,40,53.69,44,53,2.7,110,45.67,38,47,49.53
29-0093-00,NLF,2004,2013,21.97,37,48.71,42,52,10.4,36,53.58,44,53,2.55,40,46.52,38,47,49.6
29-0098-00,NLF,2004,2013,14.55,11,42.76,42,52,5.27,11,46.91,44,53,4.38,11,38.72,38,47,42.8
29-0101-01,NLF,2004,2013,7.25,4,32.72,42,52,1.25,4,32.79,44,53,6.68,75,32.64,38,47,32.72
29-0101-02,NLF,2004,2013,16,4,44.13,42,52,5.5,4,47.32,44,53,3.52,34,41.85,38,47,44.43
29-0101-03,NLF,2004,2013,12.13,8,40.13,42,52,2.49,8,39.55,44,53,4.75,9,37.53,38,47,39.07
29-0110-00,NLF,2004,2013,18,4,45.83,42,52,4.25,4,44.79,44,53,6.29,68,33.49,38,47,41.37
29-0117-01,NLF,2004,2013,10.61,36,38.21,42,52,3.97,36,44.13,44,53,5.41,69,35.68,38,47,39.34
